60
1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 
14 10 29 34 20 19 8 43 15 44 11 16 38 24 3 28 39 18 58 52 60 48 9 53 59 4 1 2 42 7 27 31 13 45 49 41 50 30 26 25 36 21 40 6 51 33 5 35 23 46 54 56 47 22 57 32 12 37 55 17 
24 58 57 35 54 56 18 37 5 28 25 44 48 47 40 2 46 50 3 29 12 53 34 13 41 38 55 23 1 36 7 9 21 43 33 32 20 10 4 31 27 39 52 60 51 11 15 14 17 22 30 19 6 45 26 42 59 8 49 16 
30 10 42 60 53 39 34 36 16 21 15 13 31 51 50 9 54 58 37 38 28 22 49 43 57 3 35 2 25 5 56 7 1 29 44 17 12 40 24 14 45 6 33 52 23 32 27 4 20 59 55 41 48 47 19 18 11 46 8 26 
28 32 11 56 6 41 57 27 44 9 26 59 14 31 40 29 51 37 55 48 3 36 39 30 58 60 21 13 34 42 43 4 22 20 12 16 50 25 53 8 24 54 2 33 17 19 38 45 5 47 15 35 10 18 7 1 49 46 23 52 
57 53 49 18 9 15 35 16 33 54 55 36 29 23 45 14 1 19 8 17 40 26 32 4 48 56 51 22 39 27 2 28 59 5 31 34 13 20 42 50 10 47 11 38 25 58 44 7 41 52 12 6 3 24 37 43 30 46 60 21 
52 58 43 55 12 32 17 4 47 34 5 22 51 26 45 44 23 20 35 8 48 9 38 13 31 42 11 19 3 16 57 21 59 56 2 54 49 10 25 41 33 15 40 7 36 6 18 50 27 53 37 24 1 39 14 29 46 60 28 30 
58 5 49 37 6 18 42 19 12 54 31 51 60 15 13 50 29 38 4 52 10 11 17 53 26 33 21 14 2 45 36 34 27 9 48 30 32 44 40 41 8 55 3 28 1 46 47 20 59 22 35 43 57 25 7 16 23 56 39 24 
18 14 37 59 1 56 43 24 2 21 7 53 5 46 17 45 42 8 30 20 54 26 33 16 22 51 40 52 36 41 58 47 48 13 34 55 44 9 12 3 32 25 49 39 29 31 4 27 6 11 38 35 23 60 28 15 50 19 10 57 


